ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Variation Swatches","Attributes Swatches",Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _deal_sales_counts","Meta: _deal_quantity","Meta: ecomus_pbt_product_ids","Meta: ecomus_pbt_discount_all","Meta: ecomus_pbt_checked_all","Meta: ecomus_pbt_quantity_discount_all","Meta: ecomus_product_variation_attribute","Meta: video_thumbnail_id","Meta: video_position","Meta: video_url","Meta: ecomus_advanced_linked_product_ids","Meta: product_3d_viewer_thumbnail_id","Meta: product_3d_viewer_position","Meta: product_3d_viewer_url","Meta: custom_badges_text","Meta: custom_badges_bg","Meta: custom_badges_color","Meta: ecomus_product_attribute","Meta: ecomus_product_attribute_number","Meta: ecomus_product_attribute_second","Meta: ecomus_product_attribute_number_second","Meta: _wxr_import_user_slug","Meta: unit_measure","Meta: wcboost_compare_count","Meta: wcboost_compare_addition","Meta: wcboost_compare_time","Meta: wcboost_compare_removal","Meta: _wp_old_date"
598,simple,,,"Azure Marble Button-Down",1,0,visible,,"<div>A refined wardrobe essential designed for effortless elegance. This abstract blue printed shirt blends contemporary artistry with classic tailoring, making it a versatile choice for both work and casual wear.</div>\n<div></div>\n<div>Key Features:</div>\n<div>•Modern abstract print in soothing blue tones</div>\n<div>•Structured collared neckline with front button closure</div>\n<div>• sleeves for a smart yet relaxed look</div>\n<div>•Smooth, breathable fabric for day-long comfort</div>\n<div>•Flattering tailored fit that enhances the silhouette</div>\n<div></div>\n<div>Fabric : football cotton hakoba fabric</div>\n<div></div>\n<div>Style Tip:</div>\n<div>Pair it with white or beige trousers for a clean, sophisticated look, or style it with denim for an elevated casual outfit.</div>\n<div></div>\n<div>Occasion:</div>\n<div>Office wear | Smart casuals | Day outings | Brunch &amp; meetings</div>\n<div></div>\n<div>Care Instructions:</div>\n<div>Gentle machine wash | Do not bleach | Iron on low heat</div>",,,taxable,,1,,,0,0,,,,,1,,999,1599,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/IMG_1270-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1267-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1271-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1272.jpeg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,,2,,0,,,,,,,,,,,admin,,31,32,1772618684,0,
606,simple,,,"Ombré Gradient Shirt",1,0,visible,,"<blockquote>\n<div>Elevate your everyday style with this effortlessly chic ombre shirt, designed for a perfect balance of comfort and sophistication. Featuring a soft gradient blend of white to serene blue, this shirt adds a fresh, modern touch to your wardrob.</div></blockquote>\n<div>Key Features:</div>\n<div>•Elegant ombre color transition for a standout look</div>\n<div>•Classic collared neckline with front button closure</div>\n<div>•Full sleeves with roll-up option for versatile styling</div>\n<div>•Smooth, lightweight fabric for all-day comfort</div>\n<div>•Tailored fit that flatters the silhouette</div>\n<div>Fabric: Satin</div>\n<div></div>\n<div>Style Tip:</div>\n<div>Pair it with white shorts or trousers for a crisp daytime look, or tuck it into high-waisted pants for a polished office-to-evening outfit.</div>\n<div></div>\n<div>Occasion:</div>\n<div>Casual outings | Office wear | Brunch dates | Vacation styling</div>\n<div></div>\n<div>Care Instructions:</div>\n<div>Gentle machine wash | Do not bleach | Iron on low heat</div>",,,taxable,,1,,,0,0,,,,,1,,1199,1699,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/WhatsApp-Image-2026-01-24-at-11.57.22-PM.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/WhatsApp-Image-2026-01-24-at-11.56.52-PM.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_0895-scaled.png, https://sonish.co.in/wp-content/uploads/2024/06/IMG_0298-scaled.jpeg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""},""62"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S, XL",1,1,0,,0,0,,2,,,2,,0,,,,,,,,,,,admin,,39,39,1772618683,,2024-06-11
705,simple,1899,1299,"Monochrome Mirage Co-ord Set",1,0,visible,"Button-up shirt sleeves and a relaxed silhouette. It’s tailored with drapey, crinkle-texture fabric that’s made from LENZING™ ECOVERO™ Viscose — responsibly sourced wood-based fibres produced through a process that reduces impact on forests, biodiversity and water supply.","Product Details\n\nUpgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: Imported Rayon\n\nBottom fabric: Imported Rayon",,,taxable,,1,,,0,0,,,,,1,,1299,1699,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260208_104813-1.png, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260208_104905.png, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260208_104750-1.png, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_170013.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_170035.jpg, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260208_104323-1.png, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_165951.jpg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,0,2,,0,,,,,,,,,,,admin,,30,30,1772618686,,
766,simple,,,"Floral Fusion Co-ords Set",1,0,visible,,"Product Details\n\nUpgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: Japanese crepe\n\nBottom fabric: Japanese crepe",,,taxable,,1,,,0,0,,,,,1,,1099,1699,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/img_1610-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1612-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1611.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1614.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1615-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1613-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1616-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_170705.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_170734.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_170719.jpg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""},""62"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S, XL",1,1,0,,0,0,,2,,0,2,,0,,,,,,,,,,,admin,,43,44,1772618683,10,
775,simple,,,"Mosaic Mustard Set",1,0,visible,,"Upgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: Imported Rayon\n\nBottom fabric: Imported Rayon",,,taxable,,1,,,0,0,,,,,1,,1199,1699,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_172208.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_172052.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20251225_172107.jpg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""70"":{""color"":"""",""image"":"""",""label"":""""},""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""},""62"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S, SIZE, XL",1,1,0,,0,0,,2,,0,2,,0,,,,,,,,,,,admin,,46,47,1773155824,46,
782,simple,Q4TTYHTJY0,,"Black Heritage Co-ord Set",1,0,visible,"Button-up shirt sleeves and a relaxed silhouette. It’s tailored with drapey, crinkle-texture fabric that’s made from LENZING™ ECOVERO™ Viscose — responsibly sourced wood-based fibres produced through a process that reduces impact on forests, biodiversity and water supply.","Product Details\n\nUpgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: Imported Rayon\n\nBottom fabric: Imported Rayon",,,taxable,,1,,,0,0,,,,,1,,1249,1699,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/IMG_20260118_153921-scaled.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20260118_153939.jpg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20260118_154038.jpg, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260129_154106.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/img_1177-scaled.jpeg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,0,2,,0,,,,,,,,,,,admin,,47,48,1772733393,15,
798,simple,,,"Ribbed Tank Top",1,0,visible,,"<div>Make a statement with this effortlessly stylish abstract print crop shirt, designed for modern women who appreciate comfort with a refined aesthetic. Featuring a contemporary earthy-toned print, this shirt brings a subtle artistic charm to your everyday wardrobe.</div>\n<div>Product Details</div>\n<div>•Style: Crop shirt</div>\n<div>•Print: Abstract</div>\n<div>•Fit: Relaxed fit</div>\n<div>•Neckline: Shirt collar</div>\n<div>•Sleeves: Short sleeves</div>\n<div>•Closure: Front button-down</div>\n<div>•Occasion: Casual, Smart Casual, Office Wear</div>\n<div></div>\n<div>Care Instructions</div>\n<div>•Machine wash cold</div>\n<div>•Wash with similar colors</div>\n<div>•Do not bleach</div>\n<div>•Iron on low heat</div>\n<div></div>\n<div>Model Details</div>\n<div>•Model is wearing size S</div>\n<div>•Model height: 5’6” (approx.)</div>",,,taxable,,1,,,0,1,,,,,1,,849,1299,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/Untitled-design-9.png, https://sonish.co.in/wp-content/uploads/2024/06/c8626098-da3f-425a-bde5-eb031cc0509a.png, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20260121_234259.jpg, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260217_212733.png, https://sonish.co.in/wp-content/uploads/2024/06/760136ba-661b-478b-a3d3-59d0cdb2f47a.png, https://sonish.co.in/wp-content/uploads/2024/06/IMG_20260121_234212.jpg, https://sonish.co.in/wp-content/uploads/2024/06/3a96a8cc-8605-44f4-9ac8-58ce50f7f283.png",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,0,2,,0,,,,,,,,,,,admin,,63,64,1773763788,63,
871,simple,,,"blosom fusion co-ord",1,0,visible,"Button-up shirt sleeves and a relaxed silhouette. It’s tailored with drapey, crinkle-texture fabric that’s made from LENZING™ ECOVERO™ Viscose — responsibly sourced wood-based fibres produced through a process that reduces impact on forests, biodiversity and water supply.","Product Details\n\nUpgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or evening parties,even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: Japanese crepe\n\nBottom fabric: Japanese crepe",,,taxable,,1,,,0,0,,,,,1,,1249.00,1999,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/6296483517378006593.jpg, https://sonish.co.in/wp-content/uploads/2024/06/6296483517378006595.jpg, https://sonish.co.in/wp-content/uploads/2024/06/6296483517378006594.jpg, https://sonish.co.in/wp-content/uploads/2024/06/img_1393-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/photoroom_20260205_222334.png",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,,0,yes,2,,0,2,,0,,,,,,,,,,,admin,,50,51,1773966177,50,
6201,simple,,,"Jade Jumble Shirt",1,0,visible,,"<div>Elevate your everyday style with this elegant abstract print jumble shirt, designed to bring effortless sophistication to modern dressing. Crafted from lightweight, soft silk  fabric, this shirt drapes beautifully while offering breathable comfort throughout the day.</div>\n<div>Product Details</div>\n<div>•Style: SFS004</div>\n<div><span style=""font-size: 0.875rem"">•Print: Abstract</span></div>\n<div>•Fit: Regular fit</div>\n<div>•Neckline: Shirt collar</div>\n<div>•Sleeves: Full-length sleeves</div>\n<div>•Closure: Front button closure</div>\n<div>•Fabric Feel: Lightweight, flowy &amp; breathable</div>\n<div>Fabric: california silk</div>\n<div></div>\n<div>Occasion</div>\n<div></div>\n<div>Office wear | Smart casual | Day to evening styling</div>\n<div></div>\n<div>Care Instructions</div>\n<div>•Hand wash or machine wash cold</div>\n<div>•Wash with similar colors</div>\n<div>•Do not bleach</div>\n<div>•Low-heat iron on reverse</div>\n<div></div>\n<div>Model Details</div>\n<div>•Model is wearing size S</div>\n<div>•Height: 5’6” (approx.)</div>",,,taxable,,1,,,0,0,,,,,1,,1249,1699,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2026/01/photoroom_20260205_004326.jpeg, https://sonish.co.in/wp-content/uploads/2026/01/photoroom_20260205_004111-1.jpeg, https://sonish.co.in/wp-content/uploads/2026/01/photoroom_20260205_003025.jpeg, https://sonish.co.in/wp-content/uploads/2026/01/photoroom_20260205_005603.jpeg, https://sonish.co.in/wp-content/uploads/2026/01/photoroom_20260206_165918-1.png",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,,,,0,,,,,,,,,,,,,38,38,1772618685,,
6205,simple,,,"Green Ripple Shirt",1,0,visible,"<ul>\n 	<li><strong>Pay on delivery is available.</strong></li>\n 	<li><strong>Free shipping </strong></li>\n</ul>","<div>Elevate your everyday style with this elegant abstract print ripple shirt, designed to bring effortless sophistication to modern dressing. Crafted from lightweight, georgette  fabric, this shirt drapes beautifully while offering breathable comfort throughout the day.</div>\n<div>Product Details</div>\n<div>•Style: SFS002</div>\n<div>•Print: Abstract</div>\n<div>•Fit: Regular fit</div>\n<div>•Neckline: Shirt collar</div>\n<div>•Sleeves: Full-length sleeves</div>\n<div>•Closure: Front button closure</div>\n<div>•Fabric Feel: Lightweight, flowy &amp; breathable</div>\n<div>Fabric: georgette</div>\n<div></div>\n<div>Occasion : Office wear | Smart casual | Day to evening styling</div>\n<div></div>\n<div>Care Instructions</div>\n<div>•Hand wash or machine wash cold</div>\n<div>•Wash with similar colors</div>\n<div>•Do not bleach</div>\n<div>•Low-heat iron on reverse</div>\n<div></div>\n<div>Model Details</div>\n<div>•Model is wearing size S</div>\n<div>•Height: 5’6” (approx.)</div>",,,taxable,,1,,,0,0,,,,,1,,999,1699,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2026/01/IMG_20260122_092903.jpg, https://sonish.co.in/wp-content/uploads/2026/01/IMG_20260122_093220.jpg, https://sonish.co.in/wp-content/uploads/2026/01/IMG_20260122_093024.jpg, https://sonish.co.in/wp-content/uploads/2026/01/cbdf3337-2f70-4eaf-863c-528d834c9927_original.png, https://sonish.co.in/wp-content/uploads/2026/01/975bb772-3e27-4d69-ab25-7aa02f3ef687_original.png",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,,,,0,,,,,,,,,,,,,34,34,1772618681,,
6350,simple,,,"Leafy Indigo Set",1,0,hidden,,"Upgrade your wardrobe with this fashion-forward printed co-ords set, designed for effortless style and comfort made from premium-quality fabric, this set offers a perfect blend of elegance and ease\n\nThe coordinated top and bottom create a sleek, put-together look, making it ideal for casual outings, office,travel, or even a relaxed day at home\n\nDress it up with heels or keep it casual with sneakersthis set is as versatile as it is stylish.\n\nSize &amp; Fit\n\nThe model (height 5'8) is wearing a size S\n\nMaterial &amp; Care\n\nDO NOT BLEACH\nDO NOT TUMBLE DRY\nIRON LOW TEMP, STEAM\n\nTop fabric: linen cotton\n\nBottom fabric: Iinen cotton",,,taxable,,1,,,0,0,,,,,1,,1499,1899,"Co-ord Set, Women",,,"https://sonish.co.in/wp-content/uploads/2026/01/5fdf91b9-bee2-44e8-b4f0-ccc2583fb938.png, https://sonish.co.in/wp-content/uploads/2026/01/3766ef87-fc66-44b2-a61d-dd06da405ffb.png, https://sonish.co.in/wp-content/uploads/2026/01/258f16cd-4e9d-4ea0-ab87-7fe6dc3f44fa.png, https://sonish.co.in/wp-content/uploads/2026/01/739cac0e-6c6c-475e-bb34-9e3f3fcf93e5.png",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,,,,0,,,,,,,,,,,,,4,4,1772464757,,
6645,"simple, virtual",,,"Emerald Botanical V neck  Top",1,0,visible,,"&nbsp;\n<h5>An elevated expression of contemporary femininity, the Emerald Botanica Blouse is designed for the woman who commands attention effortlessly. Featuring an artfully layered botanical print in deep emerald, muted gold, and shadowed charcoal tones, this piece embodies refined sophistication.</h5>\n<h5></h5>\n<h5>The fluid drape and tailored silhouette sculpt beautifully along the body, while the soft V-neckline enhances grace with subtle allure. Designed to transition seamlessly from executive meetings to evening soirées, this blouse is a statement of quiet luxury.</h5>\n<h5></h5>\n<h2></h2>\n<h2>Signature Details</h2>\n<h5>• Exclusive abstract botanical print</h5>\n<h5>• Sculpted V-neckline</h5>\n<h5>• Precision-tailored cuffs</h5>\n<h5>• Luxe lightweight silk-blend finish</h5>\n<h5>• Elegant structured yet fluid fall</h5>\n<h5>• Designed for elevated everyday dressing</h5>\n<h2></h2>\n<h2>Craftsmanship &amp; Fabric</h2>\n<h5>Meticulously crafted from a premium silk-blend fabric, offering a smooth, breathable, and feather-light feel against the skin. The fabric’s soft sheen enhances the richness of the print, ensuring a polished look at every angle.</h5>\n<h5></h5>\n<h5>Care: Gentle cold wash or dry clean recommended.</h5>\n<h2>Fit &amp; Silhouette</h2>\n<h5>• Tailored regular fit</h5>\n<h5>• True to size</h5>\n<h5>• Model wears Size S</h5>\n<h2>Styling Notes</h2>\n<h5>Pair with high-waisted tailored trousers for executive refinement, or style with premium denim and statement heels for understated glamour.</h5>",,,taxable,,1,,,0,0,,,,,1,,1199,1599,"Printed Shirt",,,"https://sonish.co.in/wp-content/uploads/2026/02/fedbc2fe-77a9-4685-8b44-1d132be34a2f.jpeg, https://sonish.co.in/wp-content/uploads/2026/02/fedbc2fe-77a9-4685-8b44-1d132be34a2f-1.jpeg, https://sonish.co.in/wp-content/uploads/2026/02/84f7740c-84ad-4126-94b2-87575ba26fe6.png, https://sonish.co.in/wp-content/uploads/2026/02/44b76380-5147-4fd1-8da7-9b0ce49f9d64.png",,,,,,,,,0,,,,,,,,0,,0,0,,2,,,,,0,,,,,,,,,,,,,22,22,1772624248,,
6664,simple,,,"Midnight Bloom",1,0,visible,,"Effortlessly chic and perfect for warm days, this floral summer top blends elegance with everyday comfort. Crafted in a lightweight fabric, the piece features a delicate floral print on a deep base, creating a timeless yet modern look.\n\nThe square neckline and wide straps offer a flattering silhouette, while the adjustable tie-back detail adds both style and a customizable fit. Designed to pair beautifully with denim, trousers, or skirts, this top is an ideal choice for casual outings, brunch dates, or summer evenings.\n<h2>Details</h2>Floral printed fabric\n\nSquare neckline\n\nSleeveless with wide straps\n\nAdjustable tie-back closure\n\nRelaxed yet flattering fit\n<h2>Style Tip:</h2>Pair it with light denim or neutral trousers and minimal accessories for an effortless summer look.",,,taxable,,1,,,0,0,,,,,1,,719,1200,"short kurti, Women",,,"https://sonish.co.in/wp-content/uploads/2026/03/568260b4-f6b3-4826-b15e-64967c4ea5b2.png, https://sonish.co.in/wp-content/uploads/2026/03/1000073108.png, https://sonish.co.in/wp-content/uploads/2026/03/1000073109-scaled.png, https://sonish.co.in/wp-content/uploads/2026/03/1000073110.png, https://sonish.co.in/wp-content/uploads/2026/03/1000073111-scaled.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6681,simple,,,"Sunlit corset",1,0,visible,,"Step into effortless elegance with our Golden Hour Floral Kurti, designed to capture the warmth and glow of sunlit days. Crafted in a vibrant yellow floral print, this piece brings together comfort, charm, and modern ethnic style.\n\nThe kurti features a structured silhouette with delicate front button detailing, adding a refined touch while maintaining a relaxed and flattering fit. Perfect for casual outings, brunch dates, or daytime gatherings, it blends contemporary fashion with timeless grace.\n\nLightweight and breathable, the Golden Hour Kurti is made for the bright energy of the Spring/Summer season, ensuring you stay stylish and comfortable all day long.\n\nProduct Details\n\nColor: Golden Yellow Floral\n\nStyle: Front Button Kurti\n\nSleeve: Bell sleeves\n\nFit: Regular Fit\n\nSeason: Spring / Summer\n\nOccasion: Casual, Day Outings, Brunch, Everyday Elegance\n\nStyle Tip:\n\nPair it with black or neutral trousers and minimal accessories for a chic, modern look.",,,taxable,,1,,,0,0,,,,,1,,799,1299,Uncategorized,,,"https://sonish.co.in/wp-content/uploads/2026/03/47ee98d6-3cf4-4852-8b85-8f0e31fb4076.png, https://sonish.co.in/wp-content/uploads/2026/03/94b0bbe0-f94a-432e-abf9-6209955f229e.png, https://sonish.co.in/wp-content/uploads/2026/03/bf5d43e7-694b-4d2c-bb91-7dcb83dca9cb.png, https://sonish.co.in/wp-content/uploads/2026/03/4d840359-efb7-4a0a-886f-54abdc472cd6.png, https://sonish.co.in/wp-content/uploads/2026/03/0ea5aeae-a997-437f-9033-8ce518825e8e.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6688,simple,"Maroon muse(red)",,"Maroon Muse",1,0,visible,,"Elevate your everyday style with our maroon muse Halter Kurti, designed for the modern woman who loves effortless elegance. Crafted in a rich rust-red tone with delicate floral motifs, this piece blends traditional charm with a contemporary silhouette.\n\nThe sleeveless halter neckline adds a refined, structured look, while the statement back cut-out brings a subtle touch of bold femininity. Lightweight and breathable, it’s perfect for all-day comfort without compromising on style.\n\nWhether you’re heading out for brunch, casual outings, or a relaxed evening, this kurti pairs beautifully with leggings, pants, or even denim for a fusion look.\n\n⸻\n\nKey Highlights:\n\n•	Premium breathable fabric\n\n•	Elegant all-over floral print\n\n•	Modern halter neckline\n\n•	Stylish back cut-out design\n\n•	Comfortable straight fit\n\nStyle Tip:\n\nPair it with black straight pants and silver oxidised jewellery for a chic, effortless look.\n\n⸻\n\nOccasion:\n\nCasual | Brunch | Day Out | Smart Casual\n\n⸻\n\n<strong><em>Care Instructions:</em></strong>\n\n•	<strong>Hand wash separately in cold water</strong>\n\n•	<strong>Do not bleach</strong>\n\n•	<strong>Iron on low heat</strong>",,,taxable,,1,,,0,1,,,,,1,,719,999,"short kurti, Women",,,"https://sonish.co.in/wp-content/uploads/2026/03/1000075833.png, https://sonish.co.in/wp-content/uploads/2026/03/1000075829.png, https://sonish.co.in/wp-content/uploads/2026/03/1000075835.png, https://sonish.co.in/wp-content/uploads/2026/03/1000075832.png",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
